gene,strand,AGR_pos,wt_codon,type,mRNA_CGA,mRNA_CGC,mRNA_CGG,mRNA_CGT,RBS_CGA,RBS_CGC,RBS_CGG,RBS_CGT
rhsB,1,2830,AGG,remaining AGR,0.973,0.9796,1.0843,0.9741,0.2478,0.2967,0.2858,0.2033
rhsB,1,2998,AGG,remaining AGR,1.0,1.0,1.0197,1.0,1.0,1.0,1.0,1.0
rhsB,1,3121,AGG,remaining AGR,0.989,0.9643,1.0017,0.9651,0.1178,0.0565,0.625,0.1013
rhsB,1,3172,AGG,remaining AGR,0.9825,0.9857,1.0072,0.9825,2.0901,0.4818,1.8149,0.238
rhsB,1,3931,AGA,remaining AGR,1.0083,1.0993,1.1147,1.0226,0.6344,0.4653,2.1492,0.5571
rhsB,1,3964,AGA,remaining AGR,0.987,1.0378,1.084,0.9685,1.0,1.0,3.5153,1.0
rhsB,1,4192,AGA,remaining AGR,0.9325,0.9325,0.9325,0.9599,0.5091,0.5091,1.7162,0.5091
yhhH,1,43,AGG,remaining AGR,1.0,1.0,1.0,1.0,0.3131,0.1671,0.8353,0.4488
yhhH,1,154,AGA,remaining AGR,1.0,1.0656,1.0,1.0989,1.046,1.046,0.0858,1.046
yhhH,1,355,AGA,remaining AGR,0.8178,0.8501,0.8218,0.8866,0.153,0.0997,0.5221,0.183
yhhI,1,49,AGA,remaining AGR,0.9853,1.0261,1.0715,1.0999,1.7223,0.7795,1.3377,0.6029
yhhI,1,226,AGA,remaining AGR,0.9885,0.9842,1.0019,0.9666,1.046,31.909,0.5055,29.894
yhhI,1,367,AGG,remaining AGR,0.9879,0.9879,1.0162,1.0148,1.5407,1.0464,1.1262,0.7451
yhhI,1,694,AGA,remaining AGR,1.0159,1.077,1.0062,1.0603,1.046,0.3374,1.0404,0.0913
yhhI,1,844,AGA,remaining AGR,0.9314,0.9793,1.0,0.969,0.978,1.1954,4.718,1.1954
yhhI,1,973,AGA,remaining AGR,1.0,1.1276,1.0,1.0394,0.3751,0.3751,1.0,0.3751
yhhI,1,976,AGA,remaining AGR,1.0,1.1213,1.0,1.0289,1.0,0.0513,0.6669,0.0804
yhhI,1,1063,AGA,remaining AGR,1.1179,1.0758,1.0927,1.1039,0.9369,0.5326,1.3753,0.1141
yhhI,1,1093,AGA,remaining AGR,0.8919,0.9248,0.9513,0.9216,3.0199,3.1898,3.062,3.1306
yhhJ,-1,1099,AGG,remaining AGR,1.028,1.0321,1.0083,0.9915,0.096,0.054,0.4097,0.0941
rbbA,-1,1159,AGA,remaining AGR,1.0316,0.9752,1.0561,0.9695,1.0,1.0,0.0343,0.8737
yhiJ,-1,148,AGG,remaining AGR,1.0,1.0106,1.0,1.0275,0.3839,0.2757,0.0512,0.5326
yhiJ,-1,304,AGG,remaining AGR,0.8882,1.0851,1.0084,0.8924,0.1359,0.0735,0.8353,0.0647
yhiJ,-1,544,AGA,remaining AGR,1.0141,0.9399,1.1032,0.9685,1.358,0.6155,9.0841,1.0097
yhiJ,-1,589,AGA,remaining AGR,1.0,0.9661,0.9966,0.9219,0.9408,0.5827,2.0546,0.6376
yhiJ,-1,739,AGG,remaining AGR,1.0208,1.0208,1.1299,1.1299,0.1896,0.1582,0.9148,0.1154
yhiJ,-1,799,AGA,remaining AGR,1.0,1.0023,1.0252,1.0271,1.0,0.6376,7.9269,1.0
yhiJ,-1,802,AGA,remaining AGR,0.9973,1.0405,1.1436,0.9774,1.046,0.2818,1.3017,0.2296
yhiJ,-1,1336,AGA,remaining AGR,1.0499,1.0437,1.1237,1.1145,1.0036,0.5366,2.3608,0.5251
yhiJ,-1,1417,AGA,remaining AGR,1.0263,1.0164,1.0148,1.025,1.046,0.5792,2.2691,0.5792
yhiJ,-1,1483,AGA,remaining AGR,1.0761,1.1721,1.0869,1.0888,0.2836,0.2836,0.2836,0.2836
yhiJ,-1,1573,AGA,remaining AGR,0.9927,1.0186,1.022,0.9944,1.5684,69.6456,7.6768,1.5684
yhiJ,-1,1597,AGA,remaining AGR,0.9817,0.8794,0.9634,0.8794,0.8353,0.4653,17.8194,0.8353
yhiJ,-1,1600,AGG,remaining AGR,0.7402,0.725,0.8757,0.7871,0.2081,0.1808,0.5326,0.1505
yhiM,1,844,AGA,remaining AGR,1.0,0.9149,0.9202,0.9149,0.141,0.2967,2.228,0.6977
yhiM,1,868,AGA,remaining AGR,1.0221,1.0701,1.0412,0.9852,0.7985,0.4867,2.0546,0.9189
yhiN,-1,376,AGA,remaining AGR,0.9687,1.0447,1.086,0.9865,1.1437,15.5357,3.6706,45.7527
dtpB,1,505,AGA,remaining AGR,1.0,1.0578,1.0268,1.0,1.0,0.7663,1.8778,1.0
slp,1,289,AGA,remaining AGR,1.0378,1.0339,1.1202,1.0241,0.6095,0.0972,1.5242,0.1595
slp,1,439,AGA,remaining AGR,1.0034,0.9914,1.0046,1.0039,0.0305,0.7363,0.0803,1.2635
yhiD,-1,67,AGG,remaining AGR,0.9545,1.0968,1.0052,1.0113,1.4334,0.4824,0.7224,1.0038
hdeD,1,64,AGA,remaining AGR,0.9936,0.9463,1.0363,0.9366,1.023,0.4652,1.7791,0.4011
gadE,1,202,AGA,remaining AGR,0.9652,1.0888,0.98,0.9744,0.6151,0.6095,0.6095,1.0091
gadE,1,481,AGA,remaining AGR,1.0,0.9834,1.1368,1.0961,1.2079,0.8504,0.7003,0.6994
mdtE,1,163,AGA,remaining AGR,0.9877,1.0393,0.9964,0.9969,0.661,0.4228,2.8515,1.1972
gadW,-1,481,AGA,remaining AGR,1.0,1.0386,1.0196,1.0024,1.0,0.4448,0.7985,1.0
gadW,-1,562,AGG,remaining AGR,1.0215,0.9928,0.9846,0.9437,30.2292,41.6748,1.2412,27.6272
gadW,-1,577,AGA,remaining AGR,1.0018,0.972,1.0491,1.0618,1.023,0.5263,3.1548,0.4494
gadX,-1,40,AGA,remaining AGR,0.9547,0.987,0.9796,0.9498,0.479,0.3396,0.4448,0.3715
gadX,-1,166,AGG,remaining AGR,0.9681,0.9954,1.0,0.9909,0.1814,0.0106,0.4065,0.0092
gadX,-1,265,AGA,remaining AGR,1.0,1.0609,0.9955,0.997,1.046,0.2948,0.4459,0.2689
gadX,-1,343,AGA,remaining AGR,1.0,0.991,1.009,1.0048,1.0953,0.2161,1.2195,0.2015
gadX,-1,580,AGA,remaining AGR,1.0,0.9985,1.0282,0.9981,0.7634,0.3642,0.7634,0.5614
gadX,-1,736,AGA,remaining AGR,0.9891,1.0356,0.9705,0.9705,26.6339,16.2344,11.1146,27.8881
gadX,-1,817,AGA,remaining AGR,1.0,1.0616,1.0827,1.0128,0.2575,0.2373,0.8335,0.2575
yhjA,-1,661,AGA,remaining AGR,1.0664,1.1116,1.0443,1.0469,0.527,0.4867,3.7354,0.6095
yhjB,-1,490,AGA,remaining AGR,0.9776,1.026,1.0381,1.0392,1.3703,0.4292,1.5242,0.5375
bcsC,-1,1636,AGA,remaining AGR,1.0438,1.1129,1.0534,1.0411,0.211,0.1513,0.792,0.1513
bcsA,-1,307,AGG,remaining AGR,0.942,0.942,1.0182,0.9998,0.3897,0.3886,0.7985,0.3886
bcsE,1,415,AGG,remaining AGR,0.8989,0.8989,0.9429,0.8989,1.9642,1.9642,0.956,1.9642
bcsG,1,1351,AGA,remaining AGR,1.0026,1.0706,1.0383,1.0396,0.5091,0.5091,0.5091,0.5091
dppD,-1,886,AGA,remaining AGR,0.9996,1.001,1.128,1.061,2.3838,0.726,4.1787,1.2018
eptB,-1,559,AGG,remaining AGR,0.9582,0.9876,1.0028,1.0074,1.8777,1.063,0.2967,1.745
yhjY,-1,211,AGG,remaining AGR,0.9454,0.9537,1.0,0.9351,0.5401,0.2804,0.0326,0.0877
yhjY,-1,691,AGA,remaining AGR,1.0821,1.1863,1.0758,1.041,0.9842,0.2967,2.5731,0.5699
tag,1,232,AGA,remaining AGR,0.9527,1.0361,1.04,1.0582,4.2213,7.0885,13.381,2.2038
yiaC,1,244,AGG,remaining AGR,1.0,1.0,1.0,1.0,100.0187,1.9642,1.0942,7.6521
yiaG,1,91,AGA,remaining AGR,1.0141,0.9648,1.0,0.9824,1.046,0.5663,0.9585,0.6196
yiaG,1,205,AGA,remaining AGR,0.9528,0.8625,1.0535,0.8789,1.0,1.0,1.0,0.7224
hokA,-1,73,AGA,remaining AGR,1.0,1.227,0.9568,1.1441,0.8278,0.2414,0.3415,0.1833
wecH,1,976,AGA,remaining AGR,0.9968,1.0279,1.0631,1.0055,1.046,0.6703,6.4341,0.6964
wecH,1,982,AGA,remaining AGR,0.9479,0.8802,0.9583,0.8854,1.0,0.6962,1.31,1.0
xylB,-1,1288,AGG,remaining AGR,0.8992,1.0561,0.9818,0.9839,0.2419,0.2419,0.4065,0.1839
xylG,1,1036,AGA,remaining AGR,1.0192,1.0725,1.0545,1.0428,0.7985,0.2089,4.4888,0.5375
xylG,1,1300,AGG,remaining AGR,0.8324,0.8175,1.0286,0.7953,3.1713,0.9408,0.822,0.3825
xylH,1,601,AGA,remaining AGR,1.0,1.0,1.0,1.0,0.5174,0.3154,0.3544,0.3451
bax,-1,226,AGG,remaining AGR,1.0,1.1265,1.0446,1.0744,0.0023,0.0006,0.4065,0.0012
malS,1,256,AGG,remaining AGR,0.9881,1.0077,1.0474,1.0656,0.1297,0.0318,0.373,0.079
malS,1,1147,AGA,remaining AGR,1.0468,1.0468,1.2057,1.0613,0.0523,0.0523,1.0764,0.0523
avtA,1,1231,AGA,remaining AGR,1.0,1.0807,1.0366,1.0192,1.028,1.2319,2.5434,1.2327
ysaA,-1,340,AGG,remaining AGR,1.136,1.1028,1.1093,1.0948,0.0092,0.0556,0.2004,0.1027
yiaJ,-1,637,AGA,remaining AGR,1.0079,0.9942,1.0394,1.0158,1.046,0.3856,1.5584,0.2555
yiaJ,-1,823,AGG,remaining AGR,1.0342,1.0295,1.064,1.0295,9.2522,319.4461,1.7629,316.001
yiaM,1,79,AGA,remaining AGR,1.0922,1.0516,1.0655,1.0093,0.4653,25.5419,2.2686,25.5419
yiaN,1,1180,AGA,remaining AGR,1.0631,1.0631,1.4203,1.0631,1.046,0.1581,0.9481,0.0949
yiaO,1,160,AGA,remaining AGR,1.0816,1.0979,1.0816,1.0816,0.8737,0.5347,0.956,1.0942
sgbU,1,163,AGG,remaining AGR,1.0168,1.0121,1.0218,1.0026,0.0369,0.0238,0.248,0.0286
sgbE,1,472,AGG,remaining AGR,0.9974,0.9974,1.1073,1.055,0.0021,0.003,0.0624,0.0026
yiaU,1,235,AGA,remaining AGR,1.0166,1.1032,1.0105,1.0753,1.0,0.5571,4.3231,1.0
rhsA,1,355,AGA,remaining AGR,1.0121,1.0138,0.9998,1.0655,1.0,1.4821,24.1227,1.0
rhsA,1,1288,AGG,remaining AGR,0.9115,0.9301,0.946,1.0027,0.0478,0.0353,0.456,0.0478
rhsA,1,1294,AGG,remaining AGR,1.0411,1.0411,1.0739,1.0876,0.4236,0.0832,0.4051,0.0615
rhsA,1,1318,AGG,remaining AGR,1.0133,1.0288,1.0392,1.121,0.1007,0.0642,0.4713,0.0818
rhsA,1,1384,AGG,remaining AGR,1.0103,1.0309,1.0338,1.0,0.0046,0.0095,0.0069,0.0061
rhsA,1,1834,AGA,remaining AGR,0.9308,0.9308,0.9308,0.957,0.5091,0.5091,2.1493,0.5091
rhsA,1,2227,AGG,remaining AGR,1.0521,1.1892,1.0937,1.1178,0.1638,7.8972,0.7985,7.8972
rhsA,1,2314,AGA,remaining AGR,1.0206,1.0553,1.0624,1.0561,1.0,0.8659,1.0723,1.0556
rhsA,1,2650,AGG,remaining AGR,0.9628,1.0037,1.0369,0.9463,0.0631,0.2274,0.0187,0.079
rhsA,1,2830,AGG,remaining AGR,0.973,0.9796,1.0843,0.9741,0.2478,0.2967,0.2858,0.2033
rhsA,1,2998,AGG,remaining AGR,1.0,1.0,1.0197,1.0,1.0,1.0,1.0,1.0
rhsA,1,3121,AGA,remaining AGR,1.0,1.0569,1.0755,1.0163,1.046,0.2657,2.6513,0.6196
rhsA,1,3172,AGA,remaining AGR,1.0281,1.0315,1.0075,1.0075,1.046,14.7113,0.505,0.2564
rhsA,1,3754,AGA,remaining AGR,0.9965,1.0009,0.9965,1.0041,0.9842,0.6095,2.4057,0.6669
rhsA,1,3862,AGA,remaining AGR,0.9539,0.9804,0.9808,0.9301,1.6406,1.1972,4.3767,2.3516
rhsA,1,3985,AGA,remaining AGR,0.9133,0.9174,0.9699,1.0678,1.0701,0.7146,1.4346,0.8001
rhsA,1,4015,AGA,remaining AGR,0.9838,0.9818,1.0414,0.9818,1.0,1.2167,0.0471,0.9406
rhsA,1,4108,AGA,remaining AGR,1.0,1.0,1.1989,1.0,0.9408,0.8528,3.8579,0.6403
rhsA,1,4129,AGA,remaining AGR,1.0,1.1798,1.0974,1.0927,0.7481,0.5827,5.0539,0.7014
yibA,1,118,AGG,remaining AGR,0.8597,0.8284,0.9163,0.8509,0.0792,0.0428,0.3463,0.0469
yibA,1,133,AGA,remaining AGR,0.9766,1.0177,0.9462,0.9521,1.046,0.1955,0.8731,0.1979
yibA,1,148,AGA,remaining AGR,0.9898,1.0555,1.0108,1.0453,0.0286,0.5326,0.0225,1.0
yibA,1,169,AGA,remaining AGR,1.0048,1.033,0.9924,1.0033,1.0,1.0,1.0,1.0
yibA,1,211,AGA,remaining AGR,0.9287,0.9578,1.0263,0.9744,1.0942,0.2005,0.8929,0.1928
yibA,1,433,AGA,remaining AGR,0.9114,0.9216,0.973,1.0027,1.0942,1.0942,0.0184,0.7597
yibA,1,526,AGA,remaining AGR,1.0451,1.0451,1.0921,1.096,0.1002,0.1147,0.8593,0.1096
yibA,1,580,AGG,remaining AGR,0.9578,1.0178,0.9578,0.9777,0.2543,13.3753,15.3087,11.6087
yibA,1,655,AGA,remaining AGR,0.9606,1.1311,1.0682,1.0262,1.023,0.8309,2.6967,0.8309
yibA,1,667,AGG,remaining AGR,0.961,0.9708,1.0,1.0146,0.4185,0.0793,0.4252,0.0769
yibG,1,247,AGA,remaining AGR,0.9587,0.9832,0.9587,1.135,1.0579,0.9081,1.9864,1.0579
yibG,1,343,AGA,remaining AGR,0.988,0.9942,0.9911,0.9911,2.0546,0.4039,2.2853,0.4133
yibG,1,436,AGA,remaining AGR,1.059,1.2277,1.0675,1.1518,0.4672,0.7139,15.2299,0.7139
yibG,1,439,AGG,remaining AGR,1.0,1.0979,1.053,1.0245,0.0237,0.022,0.2265,0.0434
yibH,-1,313,AGA,remaining AGR,1.0442,1.0574,1.0817,1.2257,0.9271,0.0784,2.2374,0.2423
yibH,-1,619,AGA,remaining AGR,1.0465,1.1267,1.08,1.064,1.046,0.3226,1.1123,0.2462
yibH,-1,1096,AGA,remaining AGR,1.0,1.1086,1.0389,1.0288,52.3525,52.3525,0.7639,52.3525
mtlR,1,40,AGA,remaining AGR,1.012,1.0357,1.1454,1.017,1.0,1.0,0.0534,1.0
trmL,1,466,AGA,remaining AGR,0.9431,0.982,1.0292,0.9431,1.3433,0.3859,1.7824,0.2513
cysE,-1,52,AGA,remaining AGR,0.9714,0.9807,1.0361,0.9714,5.441,12.6134,407.2192,24.5596
gpsA,-1,76,AGA,remaining AGR,0.959,0.959,0.9998,0.9942,1.31,1.31,1.31,1.31
envC,1,37,AGG,remaining AGR,0.9087,0.9271,0.9909,0.9066,0.3496,0.207,0.7985,0.2369
yibQ,1,184,AGA,remaining AGR,1.0909,1.2137,1.0926,1.1523,2.4598,0.0568,0.4112,1.1446
waaH,-1,679,AGA,remaining AGR,0.944,0.9226,1.0711,1.0114,1.0,1.0,0.7863,1.0
yibB,-1,46,AGA,remaining AGR,1.0618,1.0754,1.0379,1.0443,0.8992,0.7511,0.0492,0.7511
yibB,-1,181,AGG,remaining AGR,0.9613,0.9414,1.0449,0.9556,0.7985,1.7951,0.4912,0.1138
yibB,-1,247,AGA,remaining AGR,1.2096,0.963,1.1603,1.022,0.7681,0.4515,2.4492,0.494
yibB,-1,256,AGA,remaining AGR,0.9751,0.953,0.989,0.953,0.8702,0.8735,17.0352,0.8527
yibB,-1,301,AGA,remaining AGR,1.0442,1.2428,1.0913,1.0913,0.0209,1.1421,0.0078,1.1421
yibB,-1,766,AGA,remaining AGR,0.9062,0.8382,0.8907,0.8333,0.3715,0.158,0.6977,0.2858
yibB,-1,799,AGG,remaining AGR,1.0181,0.9374,1.0,0.9241,0.0724,0.0246,0.7985,0.0263
yibB,-1,835,AGA,remaining AGR,1.0804,1.0887,1.0982,1.1322,0.4431,0.1066,1.3865,0.2623
yibB,-1,850,AGA,remaining AGR,1.0096,0.9955,1.0749,0.9923,0.4065,0.4065,2.6915,0.294
waaC,1,817,AGA,remaining AGR,1.0802,1.1651,1.1521,1.1758,1.0,1.0,1.4981,1.0
waaC,1,892,AGG,remaining AGR,0.9831,0.9882,0.9904,1.0266,0.4719,0.0477,0.5239,0.0761
waaC,1,901,AGA,remaining AGR,1.0,0.9631,1.0123,1.0957,1.046,0.225,1.3017,0.3078
waaL,1,187,AGA,remaining AGR,0.9258,0.963,1.0803,0.9079,0.5958,0.5404,1.3268,0.5913
waaL,1,643,AGA,remaining AGR,1.0,0.8072,1.0783,0.8434,1.046,0.2056,0.2201,0.1814
waaL,1,862,AGA,remaining AGR,1.0622,1.1522,1.0622,1.0622,1.0,0.6095,2.5011,0.9369
waaL,1,919,AGA,remaining AGR,1.0,1.0,1.0517,1.0991,0.5233,0.0541,1.3886,0.0398
waaL,1,973,AGG,remaining AGR,0.9212,1.1741,1.0,1.058,0.0038,0.0011,0.0038,0.002
waaL,1,979,AGA,remaining AGR,1.0,1.0,1.0,1.005,1.046,0.2679,0.0961,0.2679
waaU,-1,31,AGA,AGR in first 30,0.9909,0.9011,0.9772,0.9987,0.5011,0.2967,1.31,0.2919
waaU,-1,232,AGA,remaining AGR,1.0282,1.002,1.1128,1.0354,0.3396,0.3321,18.4311,0.6669
waaU,-1,625,AGA,remaining AGR,1.0222,1.0846,1.0624,1.0222,0.5482,0.4151,3.0806,0.4151
waaU,-1,1048,AGA,remaining AGR,1.0708,1.0258,1.0376,1.0258,0.2348,0.125,0.7298,0.1455
waaZ,-1,259,AGA,remaining AGR,0.9707,0.8661,1.0103,0.9046,0.149,0.2122,3.8591,0.158
waaZ,-1,409,AGA,remaining AGR,0.9596,1.0069,1.097,0.9596,0.3511,0.4109,1.8577,0.4109
waaZ,-1,646,AGG,remaining AGR,0.9554,1.0438,0.9835,0.8946,0.2402,0.068,0.3685,0.0343
waaZ,-1,805,AGA,remaining AGR,1.0,1.1984,1.0,1.0,0.7298,0.3567,3.5259,0.7706
waaZ,-1,823,AGA,remaining AGR,1.0349,1.1085,1.1938,1.0155,0.8016,0.4979,2.527,0.5142
waaY,-1,616,AGA,remaining AGR,0.9972,1.0273,1.0011,0.9657,1.2727,0.1133,1.6824,0.1133
waaR,-1,253,AGA,remaining AGR,1.0439,1.0835,1.1024,1.1072,0.4279,0.2317,1.3717,0.181
waaR,-1,268,AGA,remaining AGR,1.0579,1.0504,1.1281,1.0554,1.1492,0.5525,4.3762,0.6794
waaR,-1,319,AGA,remaining AGR,0.9505,0.9815,1.0682,0.9595,0.957,0.8992,1.4051,0.4946
waaR,-1,502,AGG,remaining AGR,0.9891,1.1551,1.0034,1.0415,1.2229,1.7161,1.0766,1.7161
waaO,-1,256,AGA,remaining AGR,0.885,0.8534,0.8927,0.8567,1.046,0.5663,5.8803,0.5142
waaO,-1,928,AGA,remaining AGR,0.9858,1.0962,1.0107,0.9911,0.4001,0.0385,1.2572,0.1626
waaO,-1,961,AGA,remaining AGR,0.943,1.0591,1.008,0.9475,0.9909,0.5349,3.1541,0.6378
waaB,-1,82,AGG,remaining AGR,0.941,1.1033,1.1808,1.0,0.5482,0.3396,0.7634,0.3715
waaB,-1,580,AGA,remaining AGR,1.0037,0.9805,1.1665,0.9593,1.046,0.1986,0.7131,0.0964
waaB,-1,682,AGA,remaining AGR,1.1202,1.0389,1.1061,1.1061,1.046,0.3226,1.4898,0.5139
waaB,-1,1036,AGA,remaining AGR,1.027,0.9482,1.0108,0.9811,1.023,0.5577,46.6111,0.623
waaS,-1,292,AGA,remaining AGR,1.0956,1.2091,1.1967,1.12,0.6909,0.3382,0.9254,0.4083
waaS,-1,364,AGA,remaining AGR,1.0503,1.045,1.1065,1.1939,0.8335,0.6177,42.3435,0.5368
waaS,-1,430,AGA,remaining AGR,1.0428,1.0428,1.045,1.0472,1.046,0.5663,6.4341,0.4643
waaS,-1,529,AGA,remaining AGR,1.003,1.0122,1.1714,1.0327,0.4996,0.4173,0.7636,0.5467
waaS,-1,640,AGA,remaining AGR,0.8962,1.1038,0.9888,0.9146,0.871,0.871,17.8194,0.871
waaS,-1,643,AGA,remaining AGR,1.0,1.027,1.0,1.1419,0.742,0.4606,2.6942,0.7043
waaP,-1,226,AGA,remaining AGR,1.0898,1.1233,1.0617,1.0685,0.9139,33.8977,54.9897,22.1627
waaP,-1,661,AGA,remaining AGR,0.9968,0.9462,0.968,0.9139,1.1314,0.0073,1.7238,0.4762
yicR,-1,322,AGG,remaining AGR,0.9714,0.9714,1.0047,1.0414,0.1934,0.0813,0.3757,0.059
yicR,-1,412,AGG,remaining AGR,0.7994,0.8938,0.9597,0.8049,1.6889,0.9408,0.8353,0.9842
slmA,1,430,AGA,remaining AGR,1.069,1.1358,1.0956,1.0881,54.7215,32.1376,53.5174,55.9809
dinD,1,73,AGA,remaining AGR,1.0281,1.0468,0.986,1.0234,2.948,1.8364,2.2283,2.5829
dinD,1,226,AGA,remaining AGR,1.039,0.9897,1.1542,1.021,1.046,0.1942,0.2201,0.2104
dinD,1,409,AGA,remaining AGR,1.0375,1.1022,1.016,1.0656,12.1553,12.8587,1.4174,12.1553
dinD,1,718,AGG,remaining AGR,1.0423,0.9821,1.0315,0.9411,0.1497,0.1251,0.1251,0.1638
ligB,-1,85,AGA,remaining AGR,0.8999,0.9344,1.056,0.8941,0.9139,0.0155,1.0872,0.0155
ligB,-1,1054,AGG,remaining AGR,0.9467,1.013,1.0708,0.944,4.4225,1.9487,1.9023,2.8206
ligB,-1,1594,AGA,remaining AGR,1.1042,1.1098,1.1161,1.0971,0.7305,0.6523,2.8866,0.4478
gmk,1,202,AGA,remaining AGR,0.94,0.8841,0.9417,0.9027,2.8154,59.9165,1.5893,40.2829
trmH,1,43,AGG,remaining AGR,0.9745,0.8901,0.9486,0.867,1.0341,1.0329,3.182,0.9968
yicH,1,1009,AGA,remaining AGR,1.008,1.0888,1.0653,1.0367,0.3321,0.2839,3.0044,0.2714
yicH,1,1156,AGA,remaining AGR,1.0,1.0969,1.0235,1.0313,0.3763,0.0135,0.5902,0.0331
setC,1,214,AGG,remaining AGR,0.8543,0.8543,1.0189,0.8543,0.1627,0.0405,0.158,0.108
setC,1,403,AGA,remaining AGR,1.0014,0.9354,0.9805,0.9467,0.9749,0.9088,3.7811,0.9088
setC,1,592,AGA,remaining AGR,1.1772,1.1132,1.1402,1.0538,0.5482,0.2967,1.4334,0.3246
setC,1,643,AGG,remaining AGR,0.9653,0.9653,1.018,0.9653,0.0583,0.0583,0.4867,0.0134
yicL,1,616,AGA,remaining AGR,0.9553,1.0195,0.9299,0.919,0.7634,0.7634,2.2482,0.7634
yicL,1,892,AGA,remaining AGR,1.0,0.9484,1.0516,0.9293,1.046,0.2818,6.4341,0.6196
yicN,-1,73,AGA,remaining AGR,1.0415,1.0272,1.1111,1.0061,1.0,0.5219,4.2086,0.8562
yicN,-1,337,AGG,remaining AGR,0.9857,1.0654,0.9796,1.0281,0.3529,0.0957,0.8911,0.2968
adeD,1,424,AGG,remaining AGR,1.0049,1.0128,1.0846,1.0015,0.2275,0.0869,0.3886,0.1614
adeD,1,1126,AGA,remaining AGR,1.0057,0.9976,1.0598,1.0022,0.6624,0.6333,0.9705,0.6624
yidF,-1,37,AGG,remaining AGR,0.9148,0.8923,1.0627,0.8848,2.3052,1.7592,1.7836,1.358
yidI,1,157,AGA,remaining AGR,1.01,1.065,1.1032,1.0661,0.7033,0.4065,0.7033,0.2569
yidP,1,31,AGA,AGR in first 30,1.0,1.0,1.0,1.0,0.2318,0.2318,2.5757,0.2318
yidP,1,547,AGA,remaining AGR,1.0273,0.9786,1.0327,0.9736,0.9842,0.0793,0.1377,0.2165
yidP,1,655,AGA,remaining AGR,0.9501,1.004,0.9825,0.9771,2.228,1.3567,0.0525,1.9548
yidQ,1,316,AGA,remaining AGR,0.9966,1.0128,1.0241,1.0049,1.0,1.0,1.0,1.0
yidR,-1,445,AGG,remaining AGR,0.9487,1.0632,1.0,1.0213,1.2524,0.1382,1.2524,1.2524
cbrA,1,1012,AGA,remaining AGR,1.018,1.0142,1.0351,0.9982,5.7841,5.7841,0.3103,9.0717
dgoK,-1,85,AGG,remaining AGR,0.9347,0.9347,0.9601,0.9707,0.2417,0.2417,0.73,0.1889
yidX,1,304,AGA,remaining AGR,0.975,0.975,1.0224,0.975,1.7161,1.7161,2.1492,1.5432
yidX,1,433,AGG,remaining AGR,0.8771,0.9074,0.9452,0.8775,1.3012,1.4893,49.4975,1.4238
yidX,1,550,AGA,remaining AGR,1.0,1.0,1.0621,1.0,0.9391,0.1072,0.2051,0.1566
recF,-1,394,AGA,remaining AGR,1.1259,1.1067,1.2216,1.1122,0.978,1.1852,10.0935,1.1852
recF,-1,397,AGA,remaining AGR,1.0068,0.9853,1.0433,0.9838,0.7033,0.4079,0.9155,0.4913
yidD,1,139,AGG,remaining AGR,1.0556,1.0823,1.0587,1.0603,2.9794,2.9794,0.0986,2.9794
mnmE,1,1078,AGG,remaining AGR,1.0333,1.0172,1.023,1.0025,0.1986,0.1986,0.4269,0.1986
tnaA,1,883,AGA,remaining AGR,0.9814,1.1011,1.0968,1.0498,5.5299,2.1342,15.4137,4.7492
mdtL,1,199,AGA,remaining AGR,1.1023,1.1005,1.0858,1.0674,0.0002,0.0002,0.0002,0.0003
yidZ,1,139,AGA,remaining AGR,0.9535,0.9298,0.975,0.9219,0.4872,0.3778,0.6977,0.3778
yieE,1,127,AGA,remaining AGR,1.0222,1.0111,1.0016,1.0064,0.8048,0.3678,0.8048,0.4824
cbrB,1,406,AGA,remaining AGR,1.0,1.0645,1.0,1.0075,0.4712,0.4653,2.4008,0.4653
cbrC,1,481,AGA,remaining AGR,1.0659,0.9814,1.0449,0.9829,13.0706,3.9347,23.7687,3.9347
cbrC,1,565,AGA,remaining AGR,0.9828,1.056,1.0201,0.9696,0.1892,0.0656,0.1729,0.1899
bglH,-1,124,AGA,remaining AGR,1.0019,0.9981,0.9907,0.9907,1.046,0.3226,1.4898,0.1413
bglB,-1,1324,AGA,remaining AGR,1.0766,1.1674,1.0766,1.2152,0.5482,0.2836,2.945,0.3246
bglG,-1,118,AGA,remaining AGR,1.0,1.0,1.0,1.0,0.822,0.1696,4.6189,0.3459
rsmG,-1,367,AGG,remaining AGR,0.866,0.8852,1.0,0.8836,0.3147,0.1042,0.4065,0.0935
mnmG,-1,244,AGG,remaining AGR,0.8659,0.9142,1.0161,0.9249,2.022,1.0942,6.3293,0.709
mnmG,-1,868,AGA,remaining AGR,1.031,1.0526,1.0434,0.9997,1.046,0.4659,6.4341,0.6196
viaA,-1,1225,AGG,remaining AGR,0.9776,1.0412,1.0413,1.0213,0.1888,6.0194,0.1607,5.5013
viaA,-1,1435,AGA,remaining AGR,1.0,1.0,1.0406,1.0,1.5292,0.8167,1.3152,2.3533
kup,1,1834,AGG,remaining AGR,0.9475,1.0495,1.0248,0.9917,0.3444,0.1358,0.5732,0.0867
rbsK,1,919,AGG,remaining AGR,0.9803,0.9981,0.9843,1.0583,0.116,0.116,0.3409,0.103
hsrA,-1,583,AGA,remaining AGR,1.016,1.004,1.176,1.008,0.9408,0.9786,2.945,0.9786
